200000	jpn	水を飲みます。	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200001	eng	I drink water.	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200002	jpn	りんごを食べる。	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200003	eng	I eat an apple.	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200004	jpn	学校へ行く。	mookeee	2023-01-01 12:00:00	2023-06-01 12:00:00
200005	eng	I go to school.	mookeee	2023-01-01 12:00:00	2023-06-01 12:00:00
200006	jpn	映画を見る。	bunbuku	2023-01-01 12:00:00	2023-06-01 12:00:00
200007	eng	I watch a movie.	bunbuku	2023-01-01 12:00:00	2023-06-01 12:00:00
200008	jpn	本を読みます。	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200009	eng	I read a book.	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200010	jpn	犬がいます。	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200011	eng	There is a dog.	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200012	jpn	猫が好きです。	arnab	2023-01-01 12:00:00	2023-06-01 12:00:00
200013	eng	I like cats.	arnab	2023-01-01 12:00:00	2023-06-01 12:00:00
200014	jpn	今日は暑いです。	mookeee	2023-01-01 12:00:00	2023-06-01 12:00:00
200015	eng	It is hot today.	mookeee	2023-01-01 12:00:00	2023-06-01 12:00:00
200016	jpn	friendと話す。	bunbuku	2023-01-01 12:00:00	2023-06-01 12:00:00
200017	eng	I talk with a friend.	bunbuku	2023-01-01 12:00:00	2023-06-01 12:00:00
200018	jpn	先生は優しいです。	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200019	eng	The teacher is kind.	tanaka	2023-01-01 12:00:00	2023-06-01 12:00:00
200020	jpn	電車に乗ります。	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200021	eng	I ride the train.	ck	2023-01-01 12:00:00	2023-06-01 12:00:00
200022	jpn	日本語を勉強しています。	arnab	2023-01-01 12:00:00	2023-06-01 12:00:00
